"Event","Rank","Time","Wind","Name","Nationality","Birthday","Result","City","Date","lon","lat","Altitude","Age"
"100m","633",9.97,0.1,"Mike Rodgers","USA",1985-04-24,"1rA","Zagreb",2013-09-03,15.9819189,45.8150108,FALSE,28.38
"100m","633",9.97,1.8,"Trayvon Bromell","USA",1995-07-10,"1","Eugene",2014-06-13,-123.0867536,44.0520691,FALSE,18.94
"100m","633",9.97,0.3,"Nickel Ashmeade","JAM",1990-04-07,"1rA","Glasgow",2014-07-11,-4.251806,55.864237,FALSE,24.28
"100m","633",9.97,0.3,"Mike Rodgers","USA",1985-04-24,"2rA","Glasgow",2014-07-11,-4.251806,55.864237,FALSE,29.23
"100m","633",9.97,0.6,"Andre De Grasse","CAN",1994-11-10,"1","Westwood",2015-05-17,-118.4455164,34.0635016,FALSE,20.53
"100m","633",9.97,1.1,"Femi Ogunode","QAT",1991-01-31,"1s2","Wuhan",2015-06-03,114.305539,30.592849,FALSE,24.35
"100m","633",9.97,1,"Marvin Bracy","USA",1993-12-15,"1h2","Birmingham",2015-06-07,-86.8103567,33.5185892,FALSE,21.49
"100m","633",9.97,2,"Adam Gemili","GBR",1993-10-06,"2","Birmingham",2015-06-07,-86.8103567,33.5185892,FALSE,21.68
"100m","633",9.97,2,"Mike Rodgers","USA",1985-04-24,"3","Birmingham",2015-06-07,-86.8103567,33.5185892,FALSE,30.14
"100m","633",9.97,0,"Mike Rodgers","USA",1985-04-24,"3","Eugene",2015-06-26,-123.0867536,44.0520691,FALSE,30.19
"100m","633",9.97,0.9,"Kemar Bailey-Cole","JAM",1992-01-10,"3","Kingston",2015-06-26,-117.9269481,33.7085616,FALSE,23.47
"100m","633",9.97,0.8,"Henricho Bruintjies","RSA",1993-07-16,"1h1","La Chaux-de-Fonds",2015-07-05,6.8327838,47.1034892,FALSE,21.98
"100m","633",9.97,0,"Akani Simbine","RSA",1993-09-21,"1","Gwangju",2015-07-09,126.8526012,35.1595454,FALSE,21.81
"100m","633",9.97,1.3,"Mike Rodgers","USA",1985-04-24,"1h1","Madrid",2015-07-11,-3.7037902,40.4167754,FALSE,30.23
"100m","633",9.97,-0.3,"Tyson Gay","USA",1982-08-09,"2","Monaco",2015-07-17,7.4246158,43.7384176,FALSE,32.96
"100m","633",9.97,-0.2,"Mike Rodgers","USA",1985-04-24,"2h7","Beijing",2015-08-22,116.4073963,39.9041999,FALSE,30.35
"100m","633",9.97,-0.4,"Asafa Powell","JAM",1982-11-23,"2s3","Beijing",2015-08-23,116.4073963,39.9041999,FALSE,32.77
"100m","633",9.97,-0.1,"Mike Rodgers","USA",1985-04-24,"2","Beijing",2016-05-18,116.4073963,39.9041999,FALSE,31.09
"100m","633",9.97,2,"Tyson Gay","USA",1982-08-09,"2h1","Montverde",2016-06-11,-81.673964,28.6002769,FALSE,33.86
"100m","633",9.97,1.7,"Richard Thompson","TTO",1985-06-07,"1r2","Port of Spain",2016-06-25,-61.5142371,10.6495918,FALSE,31.07
"100m","633",9.97,0.2,"Ben Youssef Meité","CIV",1986-11-11,"2s1","Rio de Janeiro",2016-08-14,-43.1728965,-22.9068467,FALSE,29.78
"100m","633",9.97,0.6,"Christian Coleman","USA",1996-03-06,"1","Columbia",2017-05-13,-95.712891,37.09024,FALSE,21.2
"100m","633",9.97,0.5,"Jimmy Vicaut","FRA",1992-02-27,"1","Dijon",2017-05-21,5.04148,47.322047,FALSE,25.25
"100m","633",9.97,0.6,"Yohan Blake","JAM",1989-12-26,"1rB","Kingston",2017-06-10,-117.9269481,33.7085616,FALSE,27.47
"100m","633",9.97,1.5,"Isiah Young","USA",1990-01-05,"1h3","Sacramento",2017-06-22,-121.4943996,38.5815719,FALSE,27.48
"100m","633",9.97,1.5,"Ramil Guliyev","TUR",1990-05-29,"1","Bursa",2017-07-06,-122.4667086,37.7402732,FALSE,27.12
"100m","633",9.97,0.4,"Christian Coleman","USA",1996-03-06,"1s3","London",2017-08-05,-0.1277583,51.5073509,FALSE,21.43
"100m","633",9.97,0,"Chijindu Ujah","GBR",1994-03-05,"1","Zürich",2017-08-24,8.541694,47.3768866,FALSE,23.49
"100m","633",9.97,0,"Ben Youssef Meité","CIV",1986-11-11,"2","Zürich",2017-08-24,8.541694,47.3768866,FALSE,30.81
"100m","633",9.97,0.5,"Ronnie Baker","USA",1993-10-15,"1r2","Torrance",2018-04-21,-118.3406288,33.8358492,FALSE,24.53
"100m","633",9.97,0.9,"Jaylen Bacon","USA",1996-08-05,"1s3","Sacramento",2018-05-25,-121.4943996,38.5815719,FALSE,21.82
"100m","633",9.97,0.9,"Xie Zhenye","CHN",1993-08-17,"1","Montreuil",2018-06-19,2.448451,48.863812,FALSE,24.85
"100m","633",9.97,1.7,"Barakat Al-Harthi","OMA",1988-06-15,"1","Amman",2018-07-09,35.910635,31.9539494,FALSE,30.08
"100m","633",9.97,0.8,"Zharnel Hughes","GBR",1995-07-13,"1hA","London",2018-07-21,-0.1277583,51.5073509,FALSE,23.04
"100m","633",9.97,0.4,"Jimmy Vicaut","FRA",1992-02-27,"1s1","Berlin",2018-08-07,13.404954,52.5200066,FALSE,26.46
"100m","633",9.97,0.2,"Cravon Gillespie","USA",1996-07-31,"1","Tucson",2019-05-12,-110.9747108,32.2226066,FALSE,22.79
"100m","633",9.97,0.9,"Reece Prescod","GBR",1996-02-29,"4","Shanghai",2019-05-18,121.473701,31.230416,FALSE,23.23
"100m","633",9.97,0.8,"Abdul Hakim Sani Brown","JPN",1999-03-06,"3","Austin",2019-06-07,-97.7430608,30.267153,FALSE,20.27
"100m","633",9.97,0.9,"Zharnel Hughes","GBR",1995-07-13,"1","Kingston",2019-06-08,-117.9269481,33.7085616,FALSE,23.92
"100m","633",9.97,-0.1,"Zharnel Hughes","GBR",1995-07-13,"3","Palo Alto",2019-06-30,-122.1430195,37.4418834,FALSE,23.98
"100m","633",9.97,0.5,"Yohan Blake","JAM",1989-12-26,"3","London",2019-07-20,-0.1277583,51.5073509,FALSE,29.58
"100m","746",9.98,0.6,"Silvio Leonard","CUB",1955-09-20,"1","Guadalajara",1977-08-11,-103.3496092,20.6596988,TRUE,21.91
"100m","746",9.98,1.6,"Carl Lewis","USA",1961-07-01,"1","Modesto",1985-05-11,-120.9968782,37.6390972,FALSE,23.88
"100m","746",9.98,0.3,"Daniel Effiong","NGR",1972-06-17,"2s1","Stuttgart",1993-08-15,9.1829321,48.7758459,FALSE,21.18
"100m","746",9.98,1.6,"Andre Cason","USA",1969-01-20,"1h4","Knoxville",1994-06-15,-83.9207392,35.9606384,FALSE,25.42
"100m","746",9.98,0.2,"Davidson Ezinwa","NGR",1971-11-22,"1h1","Linz",1994-07-04,14.28583,48.30694,FALSE,22.63
"100m","746",9.98,1.8,"Linford Christie","GBR",1960-04-02,"1s1","Victoria",1994-08-23,-95.712891,37.09024,FALSE,34.41
"100m","746",9.98,0.6,"Dennis Mitchell","USA",1966-02-20,"1s1","Atlanta",1996-06-15,-84.3879824,33.7489954,FALSE,30.34
"100m","746",9.98,-0.1,"Jon Drummond","USA",1968-09-09,"1s2","Atlanta",1996-06-15,-84.3879824,33.7489954,FALSE,27.78
"100m","746",9.98,0,"Donovan Bailey","CAN",1967-12-16,"1","Montréal",1996-06-21,-73.567256,45.5016889,FALSE,28.53
"100m","746",9.98,1.4,"Percival Spencer","JAM",1975-02-24,"1","Kingston",1997-06-20,-117.9269481,33.7085616,FALSE,22.33
"100m","746",9.98,-0.7,"Frank Fredericks","NAM",1967-10-02,"1rA","Zürich",1997-08-13,8.541694,47.3768866,FALSE,29.88
"100m","746",9.98,0.1,"Jon Drummond","USA",1968-09-09,"2rA","Berlin",1998-09-01,13.404954,52.5200066,FALSE,30
"100m","746",9.98,0,"Frank Fredericks","NAM",1967-10-02,"2s1","Kuala Lumpur",1998-09-17,101.686855,3.139003,FALSE,30.98
"100m","746",9.98,1.6,"Leonard Myles-Mills","GHA",1973-05-09,"1","Boise",1999-06-05,-116.2023137,43.6150186,FALSE,26.09
"100m","746",9.98,0.4,"Jason Gardener","GBR",1975-09-18,"3","Lausanne",1999-07-02,6.6322734,46.5196535,FALSE,23.8
"100m","746",9.98,0.4,"Coby Miller","USA",1976-10-19,"1s1","Durham",2000-06-02,-78.898619,35.9940329,FALSE,23.64
"100m","746",9.98,2,"Francis Obikwelu","NGR",1978-11-22,"1","Braga",2000-06-21,-8.426507,41.5454486,FALSE,21.59
"100m","746",9.98,-0.8,"Maurice Greene","USA",1974-07-23,"1r1","London",2001-07-22,-0.1277583,51.5073509,FALSE,27.02
"100m","746",9.98,-0.2,"Ato Boldon","TTO",1973-12-30,"3","Edmonton",2001-08-05,-113.4909267,53.544389,FALSE,27.62
"100m","746",9.98,0.6,"Francis Obikwelu","NGR",1978-11-22,"1","Berlin",2001-08-31,13.404954,52.5200066,FALSE,22.79
"100m","746",9.98,1.4,"Coby Miller","USA",1976-10-19,"1","Portland",2002-05-18,-122.6793461,45.5154586,FALSE,25.59
"100m","746",9.98,0.2,"Kim Collins","SKN",1976-04-05,"1","Manchester",2002-07-27,-2.2426305,53.4807593,FALSE,26.33
"100m","746",9.98,1.6,"Kim Collins","SKN",1976-04-05,"1h2","Zürich",2002-08-16,8.541694,47.3768866,FALSE,26.38
"100m","746",9.98,2,"Kim Collins","SKN",1976-04-05,"2","Paris",2002-09-14,2.3522219,48.856614,FALSE,26.46
"100m","746",9.98,0,"Deji Aliu","NGR",1975-11-22,"1","Abuja",2003-07-19,7.398574,9.0764785,FALSE,27.67
"100m","746",9.98,-0.2,"Maurice Greene","USA",1974-07-23,"1h2","London",2004-07-30,-0.1277583,51.5073509,FALSE,30.04
"100m","746",9.98,-1.6,"Asafa Powell","JAM",1982-11-23,"1","Monaco",2004-09-18,7.4246158,43.7384176,FALSE,21.84
"100m","746",9.98,1.9,"Asafa Powell","JAM",1982-11-23,"1h2","Athínai",2005-06-14,23.7275388,37.9838096,FALSE,22.57
"100m","746",9.98,-0.9,"Asafa Powell","JAM",1982-11-23,"1","Oslo",2006-06-02,10.7522454,59.9138688,FALSE,23.54
"100m","746",9.98,2,"Derrick Atkins","BAH",1984-01-05,"1r1","Berkeley",2007-04-28,-122.273042,37.8715226,FALSE,23.33
"100m","746",9.98,1.9,"Tyson Gay","USA",1982-08-09,"1h2","Indianapolis",2007-06-21,-86.158068,39.768403,FALSE,24.88
"100m","746",9.98,1,"Nesta Carter","JAM",1985-11-10,"1rB","Stockholm",2008-07-22,18.0685808,59.3293235,FALSE,22.71
"100m","746",9.98,0,"Darvis Patton","USA",1977-12-04,"2rA","Monaco",2008-07-29,7.4246158,43.7384176,FALSE,30.67
"100m","746",9.98,0.2,"Nesta Carter","JAM",1985-11-10,"3rA","Lausanne",2008-09-02,6.6322734,46.5196535,FALSE,22.83
"100m","746",9.98,1.4,"Michael Frater","JAM",1982-10-06,"2","Rieti",2008-09-07,12.8567281,42.404509,FALSE,25.94
"100m","746",9.98,0.4,"Asafa Powell","JAM",1982-11-23,"2h2","Roma",2009-07-10,-95.9036356,36.0766378,FALSE,26.65
"100m","746",9.98,0.1,"Tyson Gay","USA",1982-08-09,"1q4","Berlin",2009-08-15,13.404954,52.5200066,FALSE,27.04
"100m","746",9.98,0.2,"Darvis Patton","USA",1977-12-04,"3s1","Berlin",2009-08-16,13.404954,52.5200066,FALSE,31.72
"100m","746",9.98,-0.2,"Richard Thompson","TTO",1985-06-07,"3s2","Berlin",2009-08-16,13.404954,52.5200066,FALSE,24.21
"100m","746",9.98,0,"Mike Rodgers","USA",1985-04-24,"4rA","Zürich",2009-08-28,8.541694,47.3768866,FALSE,24.36
"100m","746",9.98,0,"Walter Dix","USA",1986-01-31,"1rA","Tallahassee",2010-05-08,-84.2807329,30.4382559,FALSE,24.28
"100m","746",9.98,1.3,"Christophe Lemaitre","FRA",1990-06-11,"1","Valence",2010-07-09,-97.3880367,37.6408149,FALSE,20.09
"100m","746",9.98,1.1,"Christophe Lemaitre","FRA",1990-06-11,"2h2","Rieti",2010-08-29,12.8567281,42.404509,FALSE,20.23
"100m","746",9.98,0.9,"Michael Frater","JAM",1982-10-06,"5","Rieti",2010-08-29,12.8567281,42.404509,FALSE,27.92
"100m","746",9.98,0.5,"Yohan Blake","JAM",1989-12-26,"2","Strasbourg",2011-06-12,7.7521113,48.5734053,FALSE,21.47
"100m","746",9.98,0.6,"Michael Frater","JAM",1982-10-06,"2s1","Kingston",2011-06-24,-117.9269481,33.7085616,FALSE,28.73
"100m","746",9.98,0.6,"Nesta Carter","JAM",1985-11-10,"2s2","Kingston",2011-06-24,-117.9269481,33.7085616,FALSE,25.64
"100m","746",9.98,1,"Rakieem Salaam","USA",1990-04-05,"1","Auburn",2012-04-21,-85.4807825,32.6098566,FALSE,22.06
"100m","746",9.98,1.5,"Richard Thompson","TTO",1985-06-07,"6","London",2012-08-05,-0.1277583,51.5073509,FALSE,27.18
"100m","746",9.98,1.9,"Gabriel Mvumvure","ZIM",1988-02-23,"1rA","Montverde",2013-06-08,-81.673964,28.6002769,FALSE,25.31
"100m","746",9.98,1.1,"Charles Silmon","USA",1991-07-04,"2","Des Moines",2013-06-21,-93.6249593,41.5868353,FALSE,21.98
"100m","746",9.98,-1.2,"Kemar Bailey-Cole","JAM",1992-01-10,"2","Kingston",2013-06-21,-117.9269481,33.7085616,FALSE,21.46
"100m","746",9.98,1.1,"Mike Rodgers","USA",1985-04-24,"3","Des Moines",2013-06-21,-93.6249593,41.5868353,FALSE,28.18
"100m","746",9.98,0.2,"Mike Rodgers","USA",1985-04-24,"2rA","London",2013-07-26,-0.1277583,51.5073509,FALSE,28.27
"100m","746",9.98,-0.1,"Mike Rodgers","USA",1985-04-24,"1h6","Moskva",2013-08-10,37.6172999,55.755826,FALSE,28.32
"100m","746",9.98,-0.3,"Kemar Bailey-Cole","JAM",1992-01-10,"4","Moskva",2013-08-11,37.6172999,55.755826,FALSE,21.6
"100m","746",9.98,-0.3,"Nickel Ashmeade","JAM",1990-04-07,"5","Moskva",2013-08-11,37.6172999,55.755826,FALSE,23.36
"100m","746",9.98,-0.3,"Jimmy Vicaut","FRA",1992-02-27,"4","Zürich",2013-08-29,8.541694,47.3768866,FALSE,21.52
"100m","746",9.98,0.6,"Kemar Bailey-Cole","JAM",1992-01-10,"5","Bruxelles",2013-09-06,4.3517103,50.8503396,FALSE,21.67
"100m","746",9.98,1.4,"Simon Magakwe","RSA",1985-05-25,"1","Pretoria",2014-04-12,28.2292712,-25.7478676,TRUE,28.9
"100m","746",9.98,0.1,"Mike Rodgers","USA",1985-04-24,"3rA","Lausanne",2014-07-03,6.6322734,46.5196535,FALSE,29.21
"100m","746",9.98,0.3,"Nesta Carter","JAM",1985-11-10,"3rA","Glasgow",2014-07-11,-4.251806,55.864237,FALSE,28.68
"100m","746",9.98,-0.6,"Usain Bolt","JAM",1986-08-21,"1","Warszawa",2014-08-23,21.0122287,52.2296756,FALSE,28.02
"100m","746",9.98,1.8,"Nesta Carter","JAM",1985-11-10,"3rA","Kingston",2015-05-09,-117.9269481,33.7085616,FALSE,29.51
"100m","746",9.98,0.9,"Jimmy Vicaut","FRA",1992-02-27,"2rA","Roma",2015-06-04,-95.9036356,36.0766378,FALSE,23.28
"100m","746",9.98,0.9,"Mike Rodgers","USA",1985-04-24,"3rA","Roma",2015-06-04,-95.9036356,36.0766378,FALSE,30.13
"100m","746",9.98,1.7,"Andre De Grasse","CAN",1994-11-10,"2h1","Eugene",2015-06-10,-123.0867536,44.0520691,FALSE,20.59
"100m","746",9.98,1.8,"Kim Collins","SKN",1976-04-05,"1","Basseterre",2015-06-13,-62.7176924,17.3026058,FALSE,39.21
"100m","746",9.98,1,"Asafa Powell","JAM",1982-11-23,"1h1","Kingston",2015-06-25,-117.9269481,33.7085616,FALSE,32.61
"100m","746",9.98,0.9,"Nesta Carter","JAM",1985-11-10,"4","Kingston",2015-06-26,-117.9269481,33.7085616,FALSE,29.64
"100m","746",9.98,-0.8,"Jimmy Vicaut","FRA",1992-02-27,"5","London",2015-07-24,-0.1277583,51.5073509,FALSE,23.42
"100m","746",9.98,-0.4,"Justin Gatlin","USA",1982-02-10,"1","Bruxelles",2015-09-11,4.3517103,50.8503396,FALSE,33.61
"100m","746",9.98,-0.4,"Femi Ogunode","QAT",1991-01-31,"2","Bruxelles",2015-09-11,4.3517103,50.8503396,FALSE,24.63
"100m","746",9.98,1.5,"Wayde van Niekerk","RSA",1992-07-15,"1","Bloemfontein",2016-03-12,26.1595761,-29.085214,TRUE,23.67
"100m","746",9.98,-0.4,"Usain Bolt","JAM",1986-08-21,"1","Ostrava",2016-05-20,18.2625243,49.8209226,FALSE,29.77
"100m","746",9.98,1,"Asafa Powell","JAM",1982-11-23,"4rA","Kingston",2016-06-11,-117.9269481,33.7085616,FALSE,33.57
"100m","746",9.98,1.6,"Marvin Bracy","USA",1993-12-15,"3","Eugene",2016-07-03,-123.0867536,44.0520691,FALSE,22.56
"100m","746",9.98,0.2,"Akani Simbine","RSA",1993-09-21,"3s1","Rio de Janeiro",2016-08-14,-43.1728965,-22.9068467,FALSE,22.91
"100m","746",9.98,1.1,"Akani Simbine","RSA",1993-09-21,"1h3","Pretoria",2017-03-18,28.2292712,-25.7478676,TRUE,23.5
"100m","746",9.98,2,"Odean Skeen","JAM",1994-08-28,"1h4","Auburn",2017-04-22,-85.4807825,32.6098566,FALSE,22.67
"100m","746",9.98,0.4,"Ronnie Baker","USA",1993-10-15,"2rA","Kingston",2017-05-20,-117.9269481,33.7085616,FALSE,23.61
"100m","746",9.98,-0.2,"Christian Coleman","USA",1996-03-06,"1q1","Lexington",2017-05-26,-84.5037164,38.0405837,FALSE,21.24
"100m","746",9.98,-0.7,"Christian Coleman","USA",1996-03-06,"2","Sacramento",2017-06-23,-121.4943996,38.5815719,FALSE,21.31
"100m","746",9.98,0.9,"Justin Gatlin","USA",1982-02-10,"1","Székesfehérvár",2017-07-04,18.4221358,47.1860262,FALSE,35.42
"100m","746",9.98,0.2,"Ben Youssef Meité","CIV",1986-11-11,"2","Lausanne",2017-07-06,6.6322734,46.5196535,FALSE,30.67
"100m","746",9.98,-0.3,"Chijindu Ujah","GBR",1994-03-05,"1","Rabat",2017-07-16,-6.8498129,33.9715904,FALSE,23.38
"100m","746",9.98,0.7,"Isiah Young","USA",1990-01-05,"2","Monaco",2017-07-21,7.4246158,43.7384176,FALSE,27.56
"100m","746",9.98,0.4,"Usain Bolt","JAM",1986-08-21,"2s3","London",2017-08-05,-0.1277583,51.5073509,FALSE,30.98
"100m","746",9.98,1.8,"Yoshihide Kiryu","JPN",1995-12-15,"1","Fukui",2017-09-09,136.219623,36.0641386,FALSE,21.75
"100m","746",9.98,1.9,"Andre Ewers","USA",1995-06-07,"1s3","Tampa",2018-05-25,-82.4571776,27.950575,FALSE,22.98
"100m","746",9.98,-0.5,"Akani Simbine","RSA",1993-09-21,"1h1","Madrid",2018-06-22,-3.7037902,40.4167754,FALSE,24.77
"100m","746",9.98,0.2,"Xie Zhenye","CHN",1993-08-17,"1h1","La Chaux-de-Fonds",2018-07-01,6.8327838,47.1034892,FALSE,24.89
"100m","746",9.98,0.1,"Mike Rodgers","USA",1985-04-24,"5","London",2018-07-21,-0.1277583,51.5073509,FALSE,33.26
"100m","746",9.98,0.1,"Tyquendo Tracey","JAM",1993-06-10,"6","London",2018-07-21,-0.1277583,51.5073509,FALSE,25.13
"100m","746",9.98,-0.5,"Noah Lyles","USA",1997-07-18,"3","Birmingham",2018-08-18,-86.8103567,33.5185892,FALSE,21.1
"100m","746",9.98,1,"Roberto Skyers","CUB",1991-11-12,"1","Camagüey",2019-02-22,-77.9053182,21.3926035,FALSE,27.3
"100m","746",9.98,0.3,"Yohan Blake","JAM",1989-12-26,"1rA","Clermont",2019-05-05,-81.7728543,28.5494447,FALSE,29.38
"100m","746",9.98,1.3,"Mario Burke","BAR",1997-03-18,"1h2","Austin",2019-06-05,-97.7430608,30.267153,FALSE,22.23
"100m","746",9.98,0.5,"Yuki Koike","JPN",1995-05-13,"4","London",2019-07-20,-0.1277583,51.5073509,FALSE,24.2
"100m","845",9.99,1.3,"Carl Lewis","USA",1961-07-01,"1","Houston",1984-05-06,-95.3698028,29.7604267,FALSE,22.86
"100m","845",9.99,0.2,"Carl Lewis","USA",1961-07-01,"1","Los Angeles",1984-08-04,-118.2436849,34.0522342,FALSE,23.11
"100m","845",9.99,0.9,"Carl Lewis","USA",1961-07-01,"1","Zürich",1984-08-22,8.541694,47.3768866,FALSE,23.16
"100m","845",9.99,1.4,"Carl Lewis","USA",1961-07-01,"1q5","Seoul",1988-09-23,126.9779692,37.566535,FALSE,27.25
"100m","845",9.99,1.1,"Calvin Smith","USA",1961-01-08,"3","Seoul",1988-09-24,126.9779692,37.566535,FALSE,27.73
"100m","845",9.99,1.1,"Dennis Mitchell","USA",1966-02-20,"2s2","Tokyo",1991-08-25,-94.7054123,37.4327307,FALSE,25.53
"100m","845",9.99,1.1,"Linford Christie","GBR",1960-04-02,"3s2","Tokyo",1991-08-25,-94.7054123,37.4327307,FALSE,31.42
"100m","845",9.99,1.5,"Andre Cason","USA",1969-01-20,"1","Koblenz",1991-09-11,7.5889959,50.3569429,FALSE,22.65
"100m","845",9.99,1,"Daniel Effiong","NGR",1972-06-17,"1s1","Odessa",1993-05-21,30.7233095,46.482526,FALSE,20.94
"100m","845",9.99,0.3,"Dennis Mitchell","USA",1966-02-20,"3","Stuttgart",1993-08-15,9.1829321,48.7758459,FALSE,27.5
"100m","845",9.99,1.2,"Davidson Ezinwa","NGR",1971-11-22,"2r3","Lausanne",1994-07-06,6.6322734,46.5196535,FALSE,22.64
"100m","845",9.99,1.2,"Dennis Mitchell","USA",1966-02-20,"3r3","Lausanne",1994-07-06,6.6322734,46.5196535,FALSE,28.39
"100m","845",9.99,1.9,"Jon Drummond","USA",1968-09-09,"2","Oslo",1994-07-22,10.7522454,59.9138688,FALSE,25.88
"100m","845",9.99,0.5,"Jon Drummond","USA",1968-09-09,"2","Durham",1994-08-13,-78.898619,35.9940329,FALSE,25.94
"100m","845",9.99,1.5,"Jon Drummond","USA",1968-09-09,"1","Rieti",1994-08-28,12.8567281,42.404509,FALSE,25.98
"100m","845",9.99,0.9,"Donovan Bailey","CAN",1967-12-16,"1","Baton Rouge",1995-04-22,-91.1871466,30.4514677,FALSE,27.37
"100m","845",9.99,1,"Frank Fredericks","NAM",1967-10-02,"1","Villeneuve d'Ascq",1996-05-25,3.1442651,50.6232523,FALSE,28.67
"100m","845",9.99,-0.3,"Jon Drummond","USA",1968-09-09,"1h1","Atlanta",1996-06-14,-84.3879824,33.7489954,FALSE,27.78
"100m","845",9.99,0.7,"Dennis Mitchell","USA",1966-02-20,"4","Atlanta",1996-07-27,-84.3879824,33.7489954,FALSE,30.45
"100m","845",9.99,0,"Donovan Bailey","CAN",1967-12-16,"1","Burnaby",1997-05-18,-122.9805104,49.2488091,FALSE,29.44
"100m","845",9.99,1.2,"Tim Montgomery","USA",1975-01-28,"1q3","Athínai",1997-08-02,23.7275388,37.9838096,FALSE,22.53
"100m","845",9.99,0.5,"Frank Fredericks","NAM",1967-10-02,"1q6","Athínai",1997-08-02,23.7275388,37.9838096,FALSE,29.85
"100m","845",9.99,-0.7,"Maurice Greene","USA",1974-07-23,"2rA","Zürich",1997-08-13,8.541694,47.3768866,FALSE,23.07
"100m","845",9.99,0.4,"Tim Montgomery","USA",1975-01-28,"1","Monaco",1997-08-16,7.4246158,43.7384176,FALSE,22.56
"100m","845",9.99,-0.7,"Donovan Bailey","CAN",1967-12-16,"1","Köln",1997-08-24,6.9602786,50.937531,FALSE,29.71
"100m","845",9.99,0.3,"Frank Fredericks","NAM",1967-10-02,"1rA","Berlin",1997-08-26,13.404954,52.5200066,FALSE,29.92
"100m","845",9.99,-0.5,"Maurice Greene","USA",1974-07-23,"1","Sydney",1998-02-28,151.2092955,-33.8688197,FALSE,23.62
"100m","845",9.99,0,"Ato Boldon","TTO",1973-12-30,"2","Roma",1998-07-14,-95.9036356,36.0766378,FALSE,24.55
"100m","845",9.99,0.1,"Ato Boldon","TTO",1973-12-30,"3rA","Berlin",1998-09-01,13.404954,52.5200066,FALSE,24.69
"100m","845",9.99,1.1,"Dwain Chambers","GBR",1978-04-05,"2","Nürnberg",1999-06-13,11.0766654,49.4521018,FALSE,21.2
"100m","845",9.99,-0.7,"Maurice Greene","USA",1974-07-23,"1","Zürich",1999-08-11,8.541694,47.3768866,FALSE,25.07
"100m","845",9.99,0,"Leonard Myles-Mills","GHA",1973-05-09,"1","Johannesburg",1999-09-15,28.0473051,-26.2041028,TRUE,26.37
"100m","845",9.99,0.4,"Bernard Williams","USA",1978-01-19,"2s1","Durham",2000-06-02,-78.898619,35.9940329,FALSE,22.38
"100m","845",9.99,-0.3,"Ato Boldon","TTO",1973-12-30,"2","Sydney",2000-09-23,151.2092955,-33.8688197,FALSE,26.75
"100m","845",9.99,1.1,"Ato Boldon","TTO",1973-12-30,"2rA","Lausanne",2001-07-04,6.6322734,46.5196535,FALSE,27.53
"100m","845",9.99,2,"Bernard Williams","USA",1978-01-19,"2","Oslo",2001-07-13,10.7522454,59.9138688,FALSE,23.5
"100m","845",9.99,-0.2,"Dwain Chambers","GBR",1978-04-05,"4","Edmonton",2001-08-05,-113.4909267,53.544389,FALSE,23.35
"100m","845",9.99,0.6,"Shawn Crawford","USA",1978-01-14,"1rA","Pretoria",2002-04-12,28.2292712,-25.7478676,TRUE,24.26
"100m","845",9.99,0.5,"Brian Lewis","USA",1974-12-05,"1","Cayenne",2002-05-04,-52.3134531,4.92242,FALSE,27.43
"100m","845",9.99,0.7,"Maurice Greene","USA",1974-07-23,"1s2","Palo Alto",2002-06-21,-122.1430195,37.4418834,FALSE,27.93
"100m","845",9.99,0.4,"Maurice Greene","USA",1974-07-23,"1","Saint-Denis",2002-07-05,2.357443,48.936181,FALSE,27.97
"100m","845",9.99,0.1,"Bernard Williams","USA",1978-01-19,"2","Monaco",2002-07-19,7.4246158,43.7384176,FALSE,24.51
"100m","845",9.99,1.5,"Mickey Grimes","USA",1976-10-10,"1rB","Zürich",2003-08-15,8.541694,47.3768866,FALSE,26.86
"100m","845",9.99,1.3,"Kim Collins","SKN",1976-04-05,"3rA","Zürich",2003-08-15,8.541694,47.3768866,FALSE,27.38
"100m","845",9.99,1.8,"Asafa Powell","JAM",1982-11-23,"1","Spanish Town",2004-06-12,-76.9758274,18.0193171,FALSE,21.57
"100m","845",9.99,0,"Coby Miller","USA",1976-10-19,"4","Sacramento",2004-07-11,-121.4943996,38.5815719,FALSE,27.75
"100m","845",9.99,-0.2,"Asafa Powell","JAM",1982-11-23,"2q5","Athínai",2004-08-21,23.7275388,37.9838096,FALSE,21.76
"100m","845",9.99,0.2,"Shawn Crawford","USA",1978-01-14,"2","Bruxelles",2004-09-03,4.3517103,50.8503396,FALSE,26.65
"100m","845",9.99,1.6,"Abdul Aziz Zakari","GHA",1976-09-02,"2","Athínai",2005-06-14,23.7275388,37.9838096,FALSE,28.8
"100m","845",9.99,1,"Shawn Crawford","USA",1978-01-14,"1s1","Carson",2005-06-25,-118.281693,33.8316745,FALSE,27.46
"100m","845",9.99,1,"Darrel Brown","TTO",1984-10-11,"2","Port of Spain",2005-06-25,-61.5142371,10.6495918,FALSE,20.72
"100m","845",9.99,1.8,"Ronald Pognon","FRA",1982-11-16,"1rA","Lausanne",2005-07-05,6.6322734,46.5196535,FALSE,22.65
"100m","845",9.99,-1,"Justin Gatlin","USA",1982-02-10,"1s2","Helsinki",2005-08-07,24.9383791,60.1698557,FALSE,23.5
"100m","845",9.99,0,"Justin Gatlin","USA",1982-02-10,"1","Bruxelles",2005-08-26,4.3517103,50.8503396,FALSE,23.56
